AntName,lon,lat
M000,21.44380306,-30.7129252
M001,21.44390085,-30.7126053
M002,21.44355442,-30.7130784
M003,21.44319474,-30.7128804
M004,21.44259918,-30.7133365
M005,21.44282392,-30.7136089
M006,21.44369852,-30.7137203
M007,21.44295430,-30.7146877
M008,21.44291274,-30.7158809
M009,21.44422681,-30.7144023
M010,21.44480900,-30.7156723
M011,21.44476593,-30.7142314
M012,21.44535056,-30.7143767
M013,21.44636072,-30.7146042
M014,21.44681895,-30.7136326
M015,21.44608845,-30.7130315
M016,21.44689743,-30.7127321
M017,21.44597304,-30.7120682
M018,21.44499267,-30.7132730
M019,21.44567218,-30.7136279
M020,21.44490234,-30.7137580
M021,21.44079994,-30.7140072
M022,21.44052529,-30.7123380
M023,21.43999592,-30.7110509
M024,21.44022471,-30.7097024
M025,21.44198987,-30.7090209
M026,21.44285617,-30.7109017
M027,21.44431225,-30.7112644
M028,21.44335543,-30.7118418
M029,21.44296272,-30.7121746
M030,21.44567669,-30.7100276
M031,21.44646253,-30.7102101
M032,21.44870382,-30.7094729
M033,21.44995027,-30.7032637
M034,21.44762369,-30.7113107
M035,21.44792048,-30.7126872
M036,21.44794236,-30.7136776
M037,21.44785900,-30.7151979
M038,21.44611607,-30.7161882
M039,21.44653843,-30.7163964
M040,21.44360936,-30.7174789
M041,21.44088800,-30.7170230
M042,21.44011369,-30.7152067
M043,21.43731453,-30.7122126
M044,21.43453602,-30.7056401
M045,21.42475874,-30.7086493
M046,21.42857562,-30.6952554
M047,21.43785295,-30.7157209
M048,21.41461230,-30.6868209
M049,21.40625266,-30.7071143
M050,21.42246555,-30.7186625
M051,21.43501372,-30.7179944
M052,21.43769653,-30.7214148
M053,21.44398726,-30.7228197
M054,21.45299144,-30.7155632
M055,21.45643282,-30.7101845
M056,21.46057174,-30.7068455
M057,21.44696358,-30.6816559
M058,21.47316770,-30.6868209
M059,21.48236368,-30.7042055
M060,21.47958867,-30.7276489
M061,21.44371766,-30.7320127
M062,21.42884892,-30.7336345
M063,21.40819133,-30.7276489
SKA001,21.44941200,-30.7132900
SKA002,21.44321400,-30.7115440
SKA003,21.44234200,-30.7109660
SKA004,22.22079733,-30.2690227
SKA005,20.89338592,-30.2622409
SKA006,21.11234320,-30.2606717
SKA007,21.28299042,-30.3030725
SKA008,20.59737551,-30.3086592
SKA009,21.42360390,-30.3609729
SKA010,21.48118526,-30.4373526
SKA011,22.16226869,-30.5015692
SKA012,21.53695202,-30.4952379
SKA013,21.57663527,-30.5608503
SKA014,21.56851985,-30.6225777
SKA015,21.37421400,-30.6385840
SKA016,21.32584356,-30.6437272
SKA017,21.40633130,-30.6429630
SKA018,21.42642666,-30.6536853
SKA019,21.27685507,-30.6589218
SKA020,21.45176724,-30.6593164
SKA021,22.04977225,-30.6619131
SKA022,21.57385067,-30.6696026
SKA023,21.46088514,-30.6744684
SKA024,21.46210788,-30.6866573
SKA025,21.23102409,-30.6860554
SKA026,21.46402731,-30.6923489
SKA027,21.55113077,-30.6949733
SKA028,21.42993471,-30.7011268
SKA029,21.43449170,-30.7012640
SKA030,21.43904900,-30.7023560
SKA031,21.42155930,-30.7025800
SKA032,21.46458680,-30.7028050
SKA033,21.44446970,-30.7049820
SKA034,21.41357280,-30.7061490
SKA035,21.44098940,-30.7065170
SKA036,21.44530070,-30.7078200
SKA037,21.46222890,-30.7087440
SKA038,21.44059060,-30.7089130
SKA039,21.44368640,-30.7092540
SKA040,21.43462880,-30.7093140
SKA041,21.44163870,-30.7106900
SKA042,21.44512020,-30.7111680
SKA043,21.43909040,-30.7112780
SKA044,21.44376390,-30.7112800
SKA045,21.45227960,-30.7117290
SKA046,21.44435920,-30.7118250
SKA047,21.44054250,-30.7119180
SKA048,21.44235580,-30.7120250
SKA049,21.44357440,-30.7121070
SKA050,21.44443750,-30.7121930
SKA051,21.44391680,-30.7122070
SKA052,21.44262560,-30.7122100
SKA053,21.44332310,-30.7123170
SKA054,21.44733450,-30.7124060
SKA055,21.44165850,-30.7124090
SKA056,21.44366750,-30.7124280
SKA057,21.44296910,-30.7124500
SKA058,21.44225140,-30.7124850
SKA059,21.44422780,-30.7125440
SKA060,21.40524010,-30.7125470
SKA061,21.44567200,-30.7125520
SKA062,21.44327960,-30.7125970
SKA063,21.43524340,-30.7126480
SKA064,21.44260440,-30.7127150
SKA065,21.44293910,-30.7127220
SKA066,21.44451070,-30.7128500
SKA067,21.44511710,-30.7129410
SKA068,21.44191320,-30.7129500
SKA069,21.44268620,-30.7129810
SKA070,21.45839335,-30.7129912
SKA071,21.44410590,-30.7129910
SKA072,21.44233810,-30.7130900
SKA073,21.44322210,-30.7131740
SKA074,21.44291700,-30.7132800
SKA075,21.44393580,-30.7133280
SKA076,21.44428830,-30.7133640
SKA077,21.44003820,-30.7134050
SKA078,21.44226280,-30.7134130
SKA079,21.44359530,-30.7134340
SKA080,21.44325480,-30.7134800
SKA081,21.44461240,-30.7136030
SKA082,21.44404990,-30.7136650
SKA083,21.43775710,-30.7137170
SKA084,21.44187790,-30.7137860
SKA085,21.44248060,-30.7138090
SKA086,21.44340360,-30.7138580
SKA087,21.44274420,-30.7140230
SKA088,21.44368330,-30.7141590
SKA089,21.44579520,-30.7141600
SKA090,21.44104980,-30.7146840
SKA091,21.44355170,-30.7147780
SKA092,21.44748350,-30.7148790
SKA093,21.44216120,-30.7148870
SKA094,21.44425170,-30.7151230
SKA095,21.43989720,-30.7156800
SKA096,21.45553830,-30.7157430
SKA097,21.44393890,-30.7160270
SKA098,21.43764190,-30.7161740
SKA099,21.44499190,-30.7163770
SKA100,21.44903640,-30.7172230
SKA101,21.44466200,-30.7183580
SKA102,21.43635580,-30.7187400
SKA103,21.44021660,-30.7192650
SKA104,21.44726590,-30.7202330
SKA105,21.53229856,-30.7237543
SKA106,21.43284944,-30.7209125
SKA107,21.39749970,-30.7224260
SKA108,21.43389914,-30.7251786
SKA109,21.43764560,-30.7295150
SKA110,21.51112423,-30.7347904
SKA111,21.44241720,-30.7342510
SKA112,21.18376996,-30.7288111
SKA113,21.39170830,-30.7363330
SKA114,21.45243193,-30.7397593
SKA115,21.49322185,-30.7370509
SKA116,21.46027220,-30.7420160
SKA117,21.47284810,-30.7367150
SKA118,21.39467576,-30.7522929
SKA119,21.39716060,-30.7785514
SKA120,21.92322223,-30.7791495
SKA121,21.40684320,-30.8031212
SKA122,21.14481950,-30.8098413
SKA123,21.42369086,-30.8415849
SKA124,21.80449227,-30.8444902
SKA125,21.45895820,-30.8652901
SKA126,21.52700126,-30.8796123
SKA127,21.69733790,-30.8836760
SKA128,21.63561248,-30.8691765
SKA129,21.10890461,-30.9106109
SKA130,21.07718370,-31.0418938
SKA131,21.16952104,-31.2012550
SKA132,21.26782295,-31.3407726
SKA133,21.49901372,-31.5195923
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
